./testme 
2 
argumentSet = 2
Iteration 1: c = t, s = }re] , state = 0
Iteration 12478: c = ], s = {rs[[, state = 9
Iteration 12479: c = t, s = a { x, state = 9
Iteration 12480: c = r, s = xxtsa, state = 9
Iteration 12481: c = t, s = t  sa, state = 9
Iteration 12482: c = x, s = { tre, state = 9
Iteration 12483: c = s, s = atr{(, state = 9
Iteration 12484: c = e, s =  ][}[, state = 9
Iteration 12485: c = ), s = ax{ax, state = 9
Iteration 12486: c = }, s = x}r]a, state = 9
Iteration 12487: c = {, s = []x(a, state = 9
Iteration 12488: c = a, s = tsxr{, state = 9
Iteration 12489: c = r, s = ]}a](, state = 9
Iteration 12490: c = a, s = axs}s, state = 9
Iteration 12491: c =  , s = ( ses, state = 9
Iteration 12492: c =  , s = t[[) , state = 9
Iteration 12493: c = ), s = [ x}(, state = 9
Iteration 12494: c = r, s = {r{]}, state = 9
Iteration 12495: c =  , s = ttse], state = 9
Iteration 12496: c = r, s = {r{[), state = 9
Iteration 12497: c = [, s = x] ]a, state = 9
Iteration 12498: c = }, s = {)sr[, state = 9
Iteration 12499: c = t, s = xaee(, state = 9
Iteration 12500: c = x, s = {[x[t, state = 9
Iteration 12501: c = {, s = t s( , state = 9
Iteration 12502: c = x, s =  s }}, state = 9
Iteration 12503: c = r, s = {e [}, state = 9
Iteration 12504: c = x, s = {ss(e, state = 9
Iteration 12505: c = t, s = )[t([, state = 9
Iteration 12506: c = [, s =  t ([, state = 9
Iteration 12507: c = r, s = ra)(t, state = 9
Iteration 12508: c = {, s = e(t({, state = 9
Iteration 12509: c = x, s = ]}x)), state = 9
Iteration 12510: c =  , s = }  ]a, state = 9
Iteration 12511: c = x, s = ]r)t[, state = 9
Iteration 12512: c = r, s = ]s{a(, state = 9
Iteration 12513: c = {, s = }sxx(, state = 9
Iteration 12514: c = r, s = te{aa, state = 9
Iteration 12515: c = e, s = re[(), state = 9
Iteration 12516: c = ), s = ) x a, state = 9
Iteration 12517: c = ), s = t(){), state = 9
Iteration 12518: c = ], s = }[)sx, state = 9
Iteration 12519: c = e, s = ]a)ee, state = 9
Iteration 12520: c = [, s = rr[te, state = 9
Iteration 12521: c = ), s = ]}t{r, state = 9
Iteration 12522: c = x, s = er}a[, state = 9
Iteration 12523: c = [, s = [}{r}, state = 9
Iteration 12524: c = r, s = }({ (, state = 9
Iteration 12525: c = [, s =  tr s, state = 9
Iteration 12526: c = ], s = s]{es, state = 9
Iteration 12527: c = s, s =  ers(, state = 9
Iteration 12528: c = s, s = ( } (, state = 9
Iteration 12529: c = [, s = [] {[, state = 9
Iteration 12530: c = a, s = a a{), state = 9
Iteration 12531: c = a, s = s){[}, state = 9
Iteration 12532: c = [, s = [sete, state = 9
Iteration 12533: c = [, s = e[}a , state = 9
Iteration 12534: c = ), s = }xare, state = 9
Iteration 12535: c = }, s = ( e)}, state = 9
Iteration 12536: c = }, s = [a[{}, state = 9
Iteration 12537: c = }, s = a]x r, state = 9
Iteration 12538: c = a, s = })at[, state = 9
Iteration 12539: c = r, s = ]}a{{, state = 9
Iteration 12540: c = (, s = ]xa)(, state = 9
Iteration 12541: c = t, s = [{x[}, state = 9
Iteration 12542: c = [, s = rsr  , state = 9
Iteration 12543: c = x, s = )r([e, state = 9
Iteration 12544: c = (, s = s}r{e, state = 9
Iteration 12545: c = (, s = x)}e{, state = 9
Iteration 12546: c = ], s = s{tax, state = 9
Iteration 12547: c = ), s = a ){}, state = 9
Iteration 12548: c = s, s = e[)s{, state = 9
Iteration 12549: c = x, s = {[[s , state = 9
Iteration 12550: c = e, s = t]}]), state = 9
Iteration 12551: c = ], s = x}[at, state = 9
Iteration 12552: c = ), s = [ e]], state = 9
Iteration 12553: c =  , s = }xx{ , state = 9
Iteration 12554: c = ), s = r))r}, state = 9
Iteration 12555: c = t, s = ])]{a, state = 9
Iteration 12556: c = a, s = tret{, state = 9
Iteration 12557: c = r, s = } {x[, state = 9
Iteration 12558: c = e, s = ]]{{e, state = 9
Iteration 12559: c = ), s = s){} , state = 9
Iteration 12560: c = e, s = )(}a , state = 9
Iteration 12561: c = s, s = r{r]a, state = 9
Iteration 12562: c = t, s = )tarx, state = 9
Iteration 12563: c = a, s = ]{ttx, state = 9
Iteration 12564: c = s, s = } xes, state = 9
Iteration 12565: c = s, s = r}( e, state = 9
Iteration 12566: c = a, s =  ]]ta, state = 9
Iteration 12567: c = t, s = [st}r, state = 9
Iteration 12568: c = }, s = ea]s , state = 9
Iteration 12569: c = {, s = es]ar, state = 9
Iteration 12570: c = ], s = ax xe, state = 9
Iteration 12571: c =  , s = s{s){, state = 9
Iteration 12572: c = {, s = }a{)s, state = 9
Iteration 12573: c = s, s = [e{sr, state = 9
Iteration 12574: c = ), s = []}e(, state = 9
Iteration 12575: c = a, s = }]sr{, state = 9
Iteration 12576: c = s, s = (([[], state = 9
Iteration 12577: c = a, s = a r)[, state = 9
Iteration 12578: c = ), s = ){}e[, state = 9
Iteration 12579: c = a, s = } t([, state = 9
Iteration 12580: c =  , s = )][}), state = 9
Iteration 12581: c = {, s = }] }e, state = 9
Iteration 12582: c = [, s = [{}rs, state = 9
Iteration 12583: c = ], s = xxesa, state = 9
Iteration 12584: c = s, s =  s a(, state = 9
Iteration 12585: c = x, s = rr(ra, state = 9
Iteration 12586: c = e, s = (e)ax, state = 9
Iteration 12587: c = x, s = )xr{ , state = 9
Iteration 12588: c = ), s = e]()r, state = 9
Iteration 12589: c = }, s = x(}]), state = 9
Iteration 12590: c = ), s = (a a{, state = 9
Iteration 12591: c = ), s =   }ee, state = 9
Iteration 12592: c = t, s = {a}[}, state = 9
Iteration 12593: c = e, s = rxxst, state = 9
Iteration 12594: c =  , s = })}({, state = 9
Iteration 12595: c = (, s = ]x)(s, state = 9
Iteration 12596: c = s, s = e({a(, state = 9
Iteration 12597: c = (, s = x )s}, state = 9
Iteration 12598: c = {, s = ]{) {, state = 9
Iteration 12599: c = }, s = ]][{r, state = 9
Iteration 12600: c = x, s =  )tte, state = 9
Iteration 12601: c = [, s = e)(([, state = 9
Iteration 12602: c = {, s = a)]s}, state = 9
Iteration 12603: c =  , s = [ xr], state = 9
Iteration 12604: c = e, s =  a)x}, state = 9
Iteration 12605: c = a, s = ts[tt, state = 9
Iteration 12606: c = e, s = ts}{[, state = 9
Iteration 12607: c = ), s = )a(ax, state = 9
Iteration 12608: c = r, s = ))[(a, state = 9
Iteration 12609: c = ], s = [r(] , state = 9
Iteration 12610: c = r, s = ( r(a, state = 9
Iteration 12611: c = ], s = [ )}), state = 9
Iteration 12612: c = r, s = [ {a), state = 9
Iteration 12613: c = ), s = [ {{), state = 9
Iteration 12614: c = ], s = [)}({, state = 9
Iteration 12615: c = r, s = [ tr}, state = 9
Iteration 12616: c =  , s = )}]({, state = 9
Iteration 12617: c = x, s = ea](], state = 9
Iteration 12618: c = x, s = rs][{, state = 9
Iteration 12619: c = a, s = e{t }, state = 9
Iteration 12620: c = (, s = t})(a, state = 9
Iteration 12621: c = {, s = }srat, state = 9
Iteration 12622: c = s, s = rsa}[, state = 9
Iteration 12623: c = [, s = [s[r[, state = 9
Iteration 12624: c = {, s = [ex([, state = 9
Iteration 12625: c = [, s = x(}ta, state = 9
Iteration 12626: c = e, s = ([sta, state = 9
Iteration 12627: c = e, s = t{sae, state = 9
Iteration 12628: c = [, s = }s[}r, state = 9
Iteration 12629: c = [, s = ]se{[, state = 9
Iteration 12630: c = t, s = {x[e}, state = 9
Iteration 12631: c = ), s = er)]r, state = 9
Iteration 12632: c = s, s = )e{x(, state = 9
Iteration 12633: c = t, s = )re){, state = 9
Iteration 12634: c = }, s = )[x}{, state = 9
Iteration 12635: c = x, s = x)t]a, state = 9
Iteration 12636: c = x, s = {( rr, state = 9
Iteration 12637: c = t, s = ratss, state = 9
Iteration 12638: c = {, s = t]te{, state = 9
Iteration 12639: c = (, s = xt e), state = 9
Iteration 12640: c = }, s = a[[x], state = 9
Iteration 12641: c = }, s = tt] ], state = 9
Iteration 12642: c = }, s = a}t a, state = 9
Iteration 12643: c = [, s = } ]){, state = 9
Iteration 12644: c = t, s = ]][t), state = 9
Iteration 12645: c = ], s = )(]r}, state = 9
Iteration 12646: c = x, s = {}atr, state = 9
Iteration 12647: c = (, s = ]{))}, state = 9
Iteration 12648: c = s, s = r( a], state = 9
Iteration 12649: c = ], s = }x }}, state = 9
Iteration 12650: c = t, s = ([[ss, state = 9
Iteration 12651: c = r, s =   a){, state = 9
Iteration 12652: c = {, s = ]ta{r, state = 9
Iteration 12653: c = e, s = {xs]e, state = 9
Iteration 12654: c = ], s =   (]r, state = 9
Iteration 12655: c = ), s = )[ees, state = 9
Iteration 12656: c = ], s = ]{sts, state = 9
Iteration 12657: c =  , s = (r{x[, state = 9
Iteration 12658: c = s, s = xxax[, state = 9
Iteration 12659: c =  , s = (x]{[, state = 9
Iteration 12660: c = }, s = sr}]], state = 9
Iteration 12661: c = x, s = a ra{, state = 9
Iteration 12662: c = r, s = )x)es, state = 9
Iteration 12663: c = ], s = ex{(e, state = 9
Iteration 12664: c = a, s = asr({, state = 9
Iteration 12665: c = s, s = ]()(s, state = 9
Iteration 12666: c = x, s = ]{]}), state = 9
Iteration 12667: c = [, s =  ()e[, state = 9
Iteration 12668: c = x, s = )ser(, state = 9
Iteration 12669: c = e, s = []esr, state = 9
Iteration 12670: c = {, s = ra }}, state = 9
Iteration 12671: c =  , s = s }]e, state = 9
Iteration 12672: c = {, s = e[xxt, state = 9
Iteration 12673: c = }, s = tr}tx, state = 9
Iteration 12674: c = ), s = r]a]], state = 9
Iteration 12675: c = (, s = exx[s, state = 9
Iteration 12676: c = [, s = asat], state = 9
Iteration 12677: c = (, s =  ] ][, state = 9
Iteration 12678: c = {, s =  (ss[, state = 9
Iteration 12679: c = }, s = }s e), state = 9
Iteration 12680: c = s, s = [ax}), state = 9
Iteration 12681: c = x, s = ][ t(, state = 9
Iteration 12682: c = (, s = {arxt, state = 9
Iteration 12683: c = s, s = exte , state = 9
Iteration 12684: c = [, s = xs[]s, state = 9
Iteration 12685: c = ), s = rs((}, state = 9
Iteration 12686: c = ], s = ){et(, state = 9
Iteration 12687: c = s, s = {a{ss, state = 9
Iteration 12688: c =  , s = r]]s}, state = 9
Iteration 12689: c = (, s = [st[r, state = 9
Iteration 12690: c = e, s = ])sr], state = 9
Iteration 12691: c = a, s = }a} a, state = 9
Iteration 12692: c = e, s = (] x), state = 9
Iteration 12693: c = (, s = ]xe} , state = 9
Iteration 12694: c = x, s = ) x}a, state = 9
Iteration 12695: c =  , s = }(eat, state = 9
Iteration 12696: c = }, s = ]xtae, state = 9
Iteration 12697: c = x, s =  [(}x, state = 9
Iteration 12698: c = e, s = ){{}], state = 9
Iteration 12699: c = ], s = [{s}s, state = 9
Iteration 12700: c = a, s = sa)re, state = 9
Iteration 12701: c = }, s = a)[ s, state = 9
Iteration 12702: c = e, s = r(etr, state = 9
Iteration 12703: c = a, s = ra)st, state = 9
Iteration 12704: c = {, s = }[))], state = 9
Iteration 12705: c = x, s = [}s]a, state = 9
Iteration 12706: c = e, s =  ]aat, state = 9
Iteration 12707: c = x, s =  e] r, state = 9
Iteration 12708: c = x, s = )xs x, state = 9
Iteration 12709: c = t, s = }(({e, state = 9
Iteration 12710: c = r, s = rexrx, state = 9
Iteration 12711: c = r, s = }rxt{, state = 9
Iteration 12712: c = }, s = axx{e, state = 9
Iteration 12713: c = (, s = ))])e, state = 9
Iteration 12714: c = {, s = }x e), state = 9
Iteration 12715: c = [, s = ] s[t, state = 9
Iteration 12716: c = x, s = t) }), state = 9
Iteration 12717: c = ), s = ts{a{, state = 9
Iteration 12718: c = t, s = )r}ax, state = 9
Iteration 12719: c = a, s = }(ses, state = 9
Iteration 12720: c = }, s = t}str, state = 9
Iteration 12721: c = [, s = x])e(, state = 9
Iteration 12722: c =  , s = x{{)], state = 9
Iteration 12723: c = }, s = }{ {}, state = 9
Iteration 12724: c = e, s = ](s}s, state = 9
Iteration 12725: c = s, s = t[x[t, state = 9
Iteration 12726: c =  , s = [asra, state = 9
Iteration 12727: c = (, s = [r a , state = 9
Iteration 12728: c = s, s = es{{[, state = 9
Iteration 12729: c = e, s = []s[a, state = 9
Iteration 12730: c = t, s = txt}x, state = 9
Iteration 12731: c = s, s = r)x)a, state = 9
Iteration 12732: c = r, s = ea)[e, state = 9
Iteration 12733: c = e, s = [)]ae, state = 9
Iteration 12734: c = s, s =  t](t, state = 9
Iteration 12735: c = t, s = {sx }, state = 9
Iteration 12736: c = t, s = a{)ss, state = 9
Iteration 12737: c = s, s = r]a e, state = 9
Iteration 12738: c = (, s = [tee , state = 9
Iteration 12739: c = ), s = e}}}e, state = 9
Iteration 12740: c = ], s = )(}(x, state = 9
Iteration 12741: c = {, s =  raer, state = 9
Iteration 12742: c = x, s = ex[ ], state = 9
Iteration 12743: c = [, s = aet r, state = 9
Iteration 12744: c =  , s = s)s}{, state = 9
Iteration 12745: c = ], s = (ree[, state = 9
Iteration 12746: c = a, s = t {x[, state = 9
Iteration 12747: c = s, s = et s{, state = 9
Iteration 12748: c = s, s = s]ees, state = 9
Iteration 12749: c = }, s = {s[(x, state = 9
Iteration 12750: c = {, s = s](ex, state = 9
Iteration 12751: c = (, s = (}} t, state = 9
Iteration 12752: c = ], s = (r)}r, state = 9
Iteration 12753: c = s, s = a)](), state = 9
Iteration 12754: c = ], s = ]s)et, state = 9
Iteration 12755: c = (, s = [[r e, state = 9
Iteration 12756: c = a, s = }tet{, state = 9
Iteration 12757: c = r, s = )}](t, state = 9
Iteration 12758: c = a, s = (}(rr, state = 9
Iteration 12759: c = ], s = a}}[a, state = 9
Iteration 12760: c = ], s = (}][r, state = 9
Iteration 12761: c = x, s = aa}  , state = 9
Iteration 12762: c = r, s = {eae[, state = 9
Iteration 12763: c = x, s = ( s{t, state = 9
Iteration 12764: c = ], s = tx ]}, state = 9
Iteration 12765: c = ), s =  ){s), state = 9
Iteration 12766: c = [, s = x[at}, state = 9
Iteration 12767: c = ), s = e]}(), state = 9
Iteration 12768: c = ], s = }es){, state = 9
Iteration 12769: c = t, s = a(x)r, state = 9
Iteration 12770: c = s, s = a(x}(, state = 9
Iteration 12771: c = {, s = r)a[}, state = 9
Iteration 12772: c = e, s = exxx], state = 9
Iteration 12773: c = (, s = ((t(e, state = 9
Iteration 12774: c = (, s = ((a}s, state = 9
Iteration 12775: c =  , s = a{ase, state = 9
Iteration 12776: c = }, s = [}{xr, state = 9
Iteration 12777: c = e, s = a}{t[, state = 9
Iteration 12778: c = e, s = [([tx, state = 9
Iteration 12779: c = s, s = {}()(, state = 9
Iteration 12780: c = (, s = exx x, state = 9
Iteration 12781: c =  , s = s]s[{, state = 9
Iteration 12782: c = ), s = e}{tx, state = 9
Iteration 12783: c =  , s = s}}t), state = 9
Iteration 12784: c = s, s = te}[a, state = 9
Iteration 12785: c = ), s = a (r}, state = 9
Iteration 12786: c = r, s = txa[), state = 9
Iteration 12787: c = }, s = )xte}, state = 9
Iteration 12788: c = x, s = {x[]}, state = 9
Iteration 12789: c = ), s = rxaa), state = 9
Iteration 12790: c = e, s = (s{{], state = 9
Iteration 12791: c = r, s = sr {r, state = 9
Iteration 12792: c = t, s = eaae , state = 9
Iteration 12793: c = [, s = a)xaa, state = 9
Iteration 12794: c = s, s = s{xx), state = 9
Iteration 12795: c = t, s = {]sxt, state = 9
Iteration 12796: c = ], s =  [a]a, state = 9
Iteration 12797: c =  , s = ){r(t, state = 9
Iteration 12798: c = (, s = ( ]]r, state = 9
Iteration 12799: c = t, s = ]){[(, state = 9
Iteration 12800: c = s, s = (}}([, state = 9
Iteration 12801: c = x, s = r ) [, state = 9
Iteration 12802: c = t, s = }r({t, state = 9
Iteration 12803: c = {, s = x[x[e, state = 9
Iteration 12804: c =  , s = (xtx), state = 9
Iteration 12805: c = (, s =  r)se, state = 9
Iteration 12806: c = ), s = }rt[(, state = 9
Iteration 12807: c = t, s = tre[[, state = 9
Iteration 12808: c = e, s = {xtrx, state = 9
Iteration 12809: c = e, s = t]at(, state = 9
Iteration 12810: c = t, s = {}erx, state = 9
Iteration 12811: c = r, s =  s)as, state = 9
Iteration 12812: c = ], s = x[a{[, state = 9
Iteration 12813: c = a, s = (xs( , state = 9
Iteration 12814: c =  , s = sxta}, state = 9
Iteration 12815: c = {, s = x]]{a, state = 9
Iteration 12816: c = [, s = (r[]{, state = 9
Iteration 12817: c = (, s = })(tr, state = 9
Iteration 12818: c = (, s = }s]a(, state = 9
Iteration 12819: c = t, s = ](}rx, state = 9
Iteration 12820: c = t, s = [s)]{, state = 9
Iteration 12821: c = [, s = s s[(, state = 9
Iteration 12822: c = [, s = ()){}, state = 9
Iteration 12823: c = x, s = }tx(a, state = 9
Iteration 12824: c = }, s = {(r]t, state = 9
Iteration 12825: c = {, s = rt{ r, state = 9
Iteration 12826: c = }, s = x)e ], state = 9
Iteration 12827: c = s, s =  r)t(, state = 9
Iteration 12828: c = [, s = )){te, state = 9
Iteration 12829: c = ], s = ]{rat, state = 9
Iteration 12830: c = ], s = ]rrt(, state = 9
Iteration 12831: c = x, s = }){ e, state = 9
Iteration 12832: c = e, s =   ]ta, state = 9
Iteration 12833: c = s, s = (s) [, state = 9
Iteration 12834: c = ), s = s]rr(, state = 9
Iteration 12835: c = e, s = }t}{s, state = 9
Iteration 12836: c = e, s = eaatr, state = 9
Iteration 12837: c =  , s = s(]][, state = 9
Iteration 12838: c = [, s = ){[(x, state = 9
Iteration 12839: c = [, s = ]}]}{, state = 9
Iteration 12840: c = t, s = arst[, state = 9
Iteration 12841: c = r, s = re({r, state = 9
Iteration 12842: c = t, s = ])( x, state = 9
Iteration 12843: c =  , s = xtx}{, state = 9
Iteration 12844: c = [, s = }[}a}, state = 9
Iteration 12845: c = e, s = xt] (, state = 9
Iteration 12846: c = r, s = (e]a{, state = 9
Iteration 12847: c = x, s = ae(x{, state = 9
Iteration 12848: c = }, s = ]])  , state = 9
Iteration 12849: c = e, s =  rts{, state = 9
Iteration 12850: c = ), s = e))]e, state = 9
Iteration 12851: c = e, s = atrtx, state = 9
Iteration 12852: c = s, s = }ree , state = 9
Iteration 12853: c = [, s =  (e[a, state = 9
Iteration 12854: c = [, s = trssr, state = 9
Iteration 12855: c = (, s = x]e( , state = 9
Iteration 12856: c = e, s = srs]s, state = 9
Iteration 12857: c =  , s = ]a[}(, state = 9
Iteration 12858: c = x, s = ])}x), state = 9
Iteration 12859: c = t, s = )}exa, state = 9
Iteration 12860: c = ], s = ]sa}{, state = 9
Iteration 12861: c = ), s =  [}(e, state = 9
Iteration 12862: c = a, s = a]]}(, state = 9
Iteration 12863: c = t, s = ts})x, state = 9
Iteration 12864: c = {, s = )t]a}, state = 9
Iteration 12865: c = (, s = [at}t, state = 9
Iteration 12866: c =  , s = {a}]x, state = 9
Iteration 12867: c =  , s = tsse), state = 9
Iteration 12868: c = (, s = r]ta{, state = 9
Iteration 12869: c = a, s = }rx  , state = 9
Iteration 12870: c = t, s = a xxs, state = 9
Iteration 12871: c = a, s = r[]{r, state = 9
Iteration 12872: c = {, s = )e{]), state = 9
Iteration 12873: c = r, s = sxa[r, state = 9
Iteration 12874: c = ), s = aaxe), state = 9
Iteration 12875: c = ], s = s[[x}, state = 9
Iteration 12876: c = s, s = ra(a], state = 9
Iteration 12877: c = e, s = ]are(, state = 9
Iteration 12878: c = a, s = r[r{[, state = 9
Iteration 12879: c = ], s = s}(ax, state = 9
Iteration 12880: c = r, s = (xsae, state = 9
Iteration 12881: c = a, s = a}ext, state = 9
Iteration 12882: c = ), s = art(), state = 9
Iteration 12883: c = {, s = xx{ ), state = 9
Iteration 12884: c = a, s = [}s{t, state = 9
Iteration 12885: c = x, s = [[ssa, state = 9
Iteration 12886: c = e, s = xra{ , state = 9
Iteration 12887: c = x, s = e]{sr, state = 9
Iteration 12888: c = s, s = [  x], state = 9
Iteration 12889: c = t, s = sr)ss, state = 9
Iteration 12890: c = }, s = a[ras, state = 9
Iteration 12891: c = [, s = ( sx}, state = 9
Iteration 12892: c = a, s = [xtax, state = 9
Iteration 12893: c = e, s = {){)(, state = 9
Iteration 12894: c = t, s = ][] s, state = 9
Iteration 12895: c = ], s = r{]x}, state = 9
Iteration 12896: c = ), s = ]]e]{, state = 9
Iteration 12897: c = x, s = tat[], state = 9
Iteration 12898: c = }, s = tt( ], state = 9
Iteration 12899: c = {, s =  a{sr, state = 9
Iteration 12900: c =  , s = rxx}[, state = 9
Iteration 12901: c = (, s = {es{x, state = 9
Iteration 12902: c = {, s = )))rr, state = 9
Iteration 12903: c = a, s = {s}x(, state = 9
Iteration 12904: c = (, s = ea)(x, state = 9
Iteration 12905: c =  , s = a str, state = 9
Iteration 12906: c = s, s = [te[(, state = 9
Iteration 12907: c = a, s = {e[s}, state = 9
Iteration 12908: c = e, s =  sesx, state = 9
Iteration 12909: c = s, s = taxr}, state = 9
Iteration 12910: c = t, s = (t{ts, state = 9
Iteration 12911: c = s, s = t[tr{, state = 9
Iteration 12912: c = [, s = (x[(x, state = 9
Iteration 12913: c = ], s = [e]t], state = 9
Iteration 12914: c = (, s = s])x}, state = 9
Iteration 12915: c = [, s = a){]), state = 9
Iteration 12916: c = {, s = ]] ]x, state = 9
Iteration 12917: c = ), s = e]tes, state = 9
Iteration 12918: c = ), s = }ta(s, state = 9
Iteration 12919: c = [, s = asetx, state = 9
Iteration 12920: c =  , s = (sex}, state = 9
Iteration 12921: c = }, s = ]{{[t, state = 9
Iteration 12922: c = r, s = )rarr, state = 9
Iteration 12923: c = a, s =  ax)x, state = 9
Iteration 12924: c = }, s = rta}[, state = 9
Iteration 12925: c = t, s = r err, state = 9
Iteration 12926: c = }, s = a}e}}, state = 9
Iteration 12927: c = r, s = a{)es, state = 9
Iteration 12928: c = x, s = { r)[, state = 9
Iteration 12929: c = a, s = [r )x, state = 9
Iteration 12930: c = x, s = } ]xt, state = 9
Iteration 12931: c = }, s = sat]t, state = 9
Iteration 12932: c = ), s = }ae (, state = 9
Iteration 12933: c = ], s = ] (x[, state = 9
Iteration 12934: c = (, s = r[t(), state = 9
Iteration 12935: c = a, s = }{] ], state = 9
Iteration 12936: c = ), s = e][s}, state = 9
Iteration 12937: c = {, s = }t}x{, state = 9
Iteration 12938: c = r, s = {[{ x, state = 9
Iteration 12939: c = {, s = }(a}a, state = 9
Iteration 12940: c = (, s = ee x{, state = 9
Iteration 12941: c = [, s = {tra[, state = 9
Iteration 12942: c = {, s = }] ([, state = 9
Iteration 12943: c = ], s = sa]{], state = 9
Iteration 12944: c = [, s = a( er, state = 9
Iteration 12945: c = ), s = s)}{(, state = 9
Iteration 12946: c = ], s = {xe[t, state = 9
Iteration 12947: c = e, s = a))]r, state = 9
Iteration 12948: c = r, s =  r[ss, state = 9
Iteration 12949: c = e, s = [at (, state = 9
Iteration 12950: c = e, s = e[a a, state = 9
Iteration 12951: c = ], s = s]{]r, state = 9
Iteration 12952: c = (, s = )[r(], state = 9
Iteration 12953: c = ), s = e[ [[, state = 9
Iteration 12954: c =  , s = e[rs , state = 9
Iteration 12955: c = e, s = r{t{), state = 9
Iteration 12956: c =  , s = e]t{x, state = 9
Iteration 12957: c = e, s =  {e(x, state = 9
Iteration 12958: c = ], s = ]x]sx, state = 9
Iteration 12959: c = s, s =  {st(, state = 9
Iteration 12960: c = a, s = tt}s(, state = 9
Iteration 12961: c =  , s = a([  , state = 9
Iteration 12962: c = x, s = [])te, state = 9
Iteration 12963: c = [, s = r)x)], state = 9
Iteration 12964: c = t, s = xs( s, state = 9
Iteration 12965: c = a, s = )ex e, state = 9
Iteration 12966: c = ), s = }(e}a, state = 9
Iteration 12967: c = [, s = [}ee], state = 9
Iteration 12968: c = ), s = taa}s, state = 9
Iteration 12969: c = t, s = x e]r, state = 9
Iteration 12970: c = e, s = { r)}, state = 9
Iteration 12971: c = ), s = ((]sr, state = 9
Iteration 12972: c = {, s = [ees), state = 9
Iteration 12973: c = ), s = )}t[t, state = 9
Iteration 12974: c = t, s = taxt(, state = 9
Iteration 12975: c =  , s = r }}s, state = 9
Iteration 12976: c = {, s = {txt[, state = 9
Iteration 12977: c = {, s = ({t({, state = 9
Iteration 12978: c = }, s = ]e(rt, state = 9
Iteration 12979: c = [, s = st} s, state = 9
Iteration 12980: c = ), s = ])s({, state = 9
Iteration 12981: c = r, s = xaesa, state = 9
Iteration 12982: c = t, s = {){(e, state = 9
Iteration 12983: c = a, s = r} e{, state = 9
Iteration 12984: c =  , s = t{{x), state = 9
Iteration 12985: c = {, s = ({rt}, state = 9
Iteration 12986: c = (, s = es)]s, state = 9
Iteration 12987: c = [, s = )[es , state = 9
Iteration 12988: c = ), s =  t[}s, state = 9
Iteration 12989: c = x, s = se){a, state = 9
Iteration 12990: c = a, s = a}}(), state = 9
Iteration 12991: c = t, s = ax[[{, state = 9
Iteration 12992: c = s, s = (s(se, state = 9
Iteration 12993: c = }, s = )[}]], state = 9
Iteration 12994: c = a, s = {rass, state = 9
Iteration 12995: c = ], s = {  r}, state = 9
Iteration 12996: c = s, s = ee ee, state = 9
Iteration 12997: c = x, s = s[xt[, state = 9
Iteration 12998: c = {, s = )]a[ , state = 9
Iteration 12999: c = {, s = ))s[), state = 9
Iteration 13000: c = r, s = ]ett], state = 9
Iteration 13001: c = x, s = exa{x, state = 9
Iteration 13002: c = a, s = r a(a, state = 9
Iteration 13003: c = x, s = }s[e(, state = 9
Iteration 13004: c = x, s = te(ee, state = 9
Iteration 13005: c = ], s = )xx]}, state = 9
Iteration 13006: c = {, s =  xe)r, state = 9
Iteration 13007: c = a, s = sx) r, state = 9
Iteration 13008: c = [, s = e{[et, state = 9
Iteration 13009: c = (, s = {(s s, state = 9
Iteration 13010: c = e, s = [)x]x, state = 9
Iteration 13011: c = s, s = e]}r{, state = 9
Iteration 13012: c = {, s = [(er}, state = 9
Iteration 13013: c = }, s = s ]t{, state = 9
Iteration 13014: c = r, s = {ae r, state = 9
Iteration 13015: c = s, s = [r)xa, state = 9
Iteration 13016: c = t, s = }a)t{, state = 9
Iteration 13017: c = t, s =   [[(, state = 9
Iteration 13018: c = ], s = }[[ t, state = 9
Iteration 13019: c = {, s = [ ]t}, state = 9
Iteration 13020: c = a, s = e){)(, state = 9
Iteration 13021: c = r, s = }){ ], state = 9
Iteration 13022: c = a, s = {trat, state = 9
Iteration 13023: c = [, s = t][ts, state = 9
Iteration 13024: c = (, s = ([ar[, state = 9
Iteration 13025: c = [, s = {tr}}, state = 9
Iteration 13026: c = e, s = a{)}x, state = 9
Iteration 13027: c = {, s = [) ss, state = 9
Iteration 13028: c = x, s = st[ss, state = 9
Iteration 13029: c = [, s = (((}t, state = 9
Iteration 13030: c = (, s = ] [ar, state = 9
Iteration 13031: c = r, s = ((ser, state = 9
Iteration 13032: c =  , s = {rtx], state = 9
Iteration 13033: c = e, s = t]st), state = 9
Iteration 13034: c = r, s = []t( , state = 9
Iteration 13035: c = [, s = as }a, state = 9
Iteration 13036: c = t, s = {]{{x, state = 9
Iteration 13037: c = (, s = x)t}{, state = 9
Iteration 13038: c = r, s =  (x((, state = 9
Iteration 13039: c = t, s = t r[}, state = 9
Iteration 13040: c = {, s = [t{ x, state = 9
Iteration 13041: c = ), s = x]{re, state = 9
Iteration 13042: c = ), s = exats, state = 9
Iteration 13043: c = }, s = ]a)[), state = 9
Iteration 13044: c = e, s = (r{sr, state = 9
Iteration 13045: c = e, s = {traa, state = 9
Iteration 13046: c = {, s = sst[], state = 9
Iteration 13047: c = s, s = e)x(}, state = 9
Iteration 13048: c = a, s = )ae a, state = 9
Iteration 13049: c = }, s = (}ax}, state = 9
Iteration 13050: c = (, s =  ]{tt, state = 9
Iteration 13051: c = }, s = ([x{[, state = 9
